# step,train_loss,test_loss,train_acc,test_acc
1.000000000000000000e+02,4.787581443786621094e+00,4.765295505523681641e+00,0.000000000000000000e+00,7.726845567505482258e-03
2.000000000000000000e+02,4.767814159393310547e+00,4.757148742675781250e+00,0.000000000000000000e+00,7.935679231492116445e-03
3.000000000000000000e+02,4.779360771179199219e+00,4.758147716522216797e+00,0.000000000000000000e+00,7.622428735512164731e-03
4.000000000000000000e+02,4.783344745635986328e+00,4.940589904785156250e+00,1.785714285714285615e-02,6.160593087605721954e-03
5.000000000000000000e+02,4.752852916717529297e+00,4.775642395019531250e+00,1.785714285714285615e-02,5.951759423619087767e-03
6.000000000000000000e+02,4.724880695343017578e+00,4.795762538909912109e+00,0.000000000000000000e+00,5.012007935679231758e-03
7.000000000000000000e+02,4.744073390960693359e+00,4.894878864288330078e+00,1.785714285714285615e-02,4.072256447739375750e-03
8.000000000000000000e+02,4.652495384216308594e+00,4.957782268524169922e+00,1.785714285714285615e-02,3.132504959799519741e-03
9.000000000000000000e+02,4.592782497406005859e+00,4.989264488220214844e+00,0.000000000000000000e+00,3.445755455779471454e-03
1.000000000000000000e+03,4.489001750946044922e+00,5.042482376098632812e+00,1.785714285714285615e-02,3.028088127806202214e-03
1.100000000000000000e+03,4.507529258728027344e+00,5.095576286315917969e+00,0.000000000000000000e+00,2.819254463819567593e-03
1.200000000000000000e+03,4.629891872406005859e+00,5.161886692047119141e+00,3.571428571428571230e-02,2.714837631826250500e-03
1.300000000000000000e+03,4.448998928070068359e+00,5.223726749420166016e+00,3.571428571428571230e-02,3.341338623786154361e-03
1.400000000000000000e+03,4.382424354553222656e+00,5.270014286041259766e+00,5.357142857142856845e-02,3.550172287772788982e-03
1.500000000000000000e+03,4.437970161437988281e+00,5.344039916992187500e+00,7.142857142857142461e-02,3.445755455779471454e-03
1.600000000000000000e+03,4.148324012756347656e+00,5.392466545104980469e+00,1.785714285714285615e-02,4.594340607705962518e-03
1.700000000000000000e+03,4.122354507446289062e+00,5.458180427551269531e+00,7.142857142857142461e-02,3.550172287772788982e-03
1.800000000000000000e+03,3.957902193069458008e+00,5.539683818817138672e+00,1.071428571428571369e-01,3.550172287772788982e-03
1.900000000000000000e+03,3.652621030807495117e+00,5.606148242950439453e+00,1.964285714285714246e-01,3.863422783752741129e-03
2.000000000000000000e+03,3.506531238555908203e+00,5.715363979339599609e+00,1.607142857142857262e-01,4.698757439699279177e-03
2.100000000000000000e+03,3.694756031036376953e+00,5.796896934509277344e+00,1.428571428571428492e-01,3.863422783752741129e-03
2.200000000000000000e+03,3.556341409683227539e+00,5.871453762054443359e+00,1.428571428571428492e-01,4.176673279732693277e-03
2.300000000000000000e+03,3.340432643890380859e+00,5.953092098236083984e+00,1.428571428571428492e-01,4.385506943719327463e-03
2.400000000000000000e+03,3.002240419387817383e+00,6.049729347229003906e+00,3.035714285714285476e-01,4.698757439699279177e-03
2.500000000000000000e+03,2.642161846160888672e+00,6.124699592590332031e+00,2.678571428571428492e-01,3.863422783752741129e-03
2.600000000000000000e+03,2.694173812866210938e+00,6.236311435699462891e+00,3.571428571428571508e-01,6.265009919599039481e-03
2.700000000000000000e+03,2.503957748413085938e+00,6.313597202301025391e+00,3.035714285714285476e-01,5.429675263652500999e-03
2.800000000000000000e+03,2.058680772781372070e+00,6.346904754638671875e+00,5.000000000000000000e-01,6.787094079565626249e-03
2.900000000000000000e+03,2.318071603775024414e+00,6.347747802734375000e+00,3.750000000000000000e-01,8.979847551425289981e-03
3.000000000000000000e+03,1.899021506309509277e+00,6.305118560791015625e+00,5.357142857142856984e-01,1.012843270335178104e-02
3.100000000000000000e+03,1.736937165260314941e+00,6.284622192382812500e+00,5.178571428571429047e-01,1.169468518325154048e-02
3.200000000000000000e+03,1.494126081466674805e+00,6.163463115692138672e+00,6.071428571428570953e-01,1.336535449514461744e-02
3.300000000000000000e+03,1.287875294685363770e+00,6.187705516815185547e+00,7.142857142857143016e-01,1.514044063903101194e-02
3.400000000000000000e+03,1.226520895957946777e+00,6.154618740081787109e+00,7.142857142857143016e-01,1.503602380703769441e-02
3.500000000000000000e+03,1.334207177162170410e+00,6.115991592407226562e+00,6.607142857142856984e-01,1.858619609481048512e-02
3.600000000000000000e+03,1.111548066139221191e+00,6.122281551361083984e+00,6.964285714285713969e-01,1.785527827085726243e-02
3.700000000000000000e+03,7.773899435997009277e-01,6.157605648040771484e+00,8.750000000000000000e-01,1.931711391876370434e-02
3.800000000000000000e+03,8.821335434913635254e-01,6.176219940185546875e+00,7.142857142857143016e-01,1.910828025477706929e-02
3.900000000000000000e+03,7.706108689308166504e-01,6.257112026214599609e+00,8.392857142857143016e-01,2.150986739062336894e-02
4.000000000000000000e+03,6.733761429786682129e-01,6.299510002136230469e+00,8.392857142857143016e-01,2.150986739062336894e-02
4.100000000000000000e+03,5.671895742416381836e-01,6.287173271179199219e+00,9.107142857142856984e-01,2.422470502244961771e-02
4.200000000000000000e+03,7.143484354019165039e-01,6.402959823608398438e+00,8.750000000000000000e-01,2.244961887856322322e-02
4.300000000000000000e+03,7.057505249977111816e-01,6.236818790435791016e+00,8.571428571428570953e-01,2.244961887856322322e-02
4.400000000000000000e+03,4.612245261669158936e-01,6.389570236206054688e+00,9.285714285714286031e-01,2.234520204656990569e-02
4.500000000000000000e+03,6.317710280418395996e-01,6.256982326507568359e+00,7.857142857142856984e-01,2.453795551842957029e-02
4.600000000000000000e+03,5.665301680564880371e-01,6.318212985992431641e+00,8.928571428571429047e-01,2.641745849430928231e-02
4.700000000000000000e+03,5.485511422157287598e-01,6.405431747436523438e+00,8.928571428571429047e-01,2.432912185444293524e-02
4.800000000000000000e+03,4.386416971683502197e-01,6.475465297698974609e+00,9.107142857142856984e-01,3.007204761407538882e-02
4.900000000000000000e+03,6.141346693038940430e-01,6.251374721527099609e+00,8.750000000000000000e-01,2.944554662211548365e-02
5.000000000000000000e+03,4.973568916320800781e-01,6.397762775421142578e+00,8.928571428571429047e-01,2.934112979012216613e-02
5.100000000000000000e+03,4.963280856609344482e-01,6.366963386535644531e+00,9.107142857142856984e-01,2.725279315025582252e-02
5.200000000000000000e+03,3.619833886623382568e-01,6.476466178894042969e+00,9.285714285714286031e-01,2.746162681424245758e-02
5.300000000000000000e+03,5.808118581771850586e-01,6.384180068969726562e+00,8.750000000000000000e-01,2.610420799832932973e-02
5.400000000000000000e+03,4.011268317699432373e-01,6.283453941345214844e+00,8.928571428571429047e-01,3.132504959799519567e-02
5.500000000000000000e+03,6.282544732093811035e-01,6.311384677886962891e+00,7.857142857142856984e-01,3.268246841390832352e-02
5.600000000000000000e+03,5.570567846298217773e-01,6.430788993835449219e+00,8.214285714285713969e-01,3.184713375796178331e-02
5.700000000000000000e+03,4.098210036754608154e-01,6.437096595764160156e+00,9.107142857142856984e-01,2.892346246214889949e-02
5.800000000000000000e+03,7.371370196342468262e-01,6.295021057128906250e+00,8.035714285714286031e-01,2.892346246214889949e-02
5.900000000000000000e+03,6.291610598564147949e-01,6.423347473144531250e+00,8.214285714285713969e-01,3.195155058995510083e-02
6.000000000000000000e+03,3.412216007709503174e-01,6.319735527038574219e+00,9.285714285714286031e-01,3.184713375796178331e-02
6.100000000000000000e+03,5.778657197952270508e-01,6.276928424835205078e+00,8.214285714285713969e-01,3.435313772580139702e-02
6.200000000000000000e+03,2.937660515308380127e-01,6.397775173187255859e+00,9.464285714285713969e-01,3.320455257387491116e-02
6.300000000000000000e+03,5.392016172409057617e-01,6.393187522888183594e+00,8.750000000000000000e-01,3.800772684556750353e-02
6.400000000000000000e+03,5.447394847869873047e-01,6.262803077697753906e+00,8.392857142857143016e-01,3.727680902161428084e-02
6.500000000000000000e+03,5.128247141838073730e-01,6.288158893585205078e+00,8.928571428571429047e-01,3.852981100553409116e-02
6.600000000000000000e+03,2.892424762248992920e-01,6.373833656311035156e+00,9.285714285714286031e-01,4.082698130938706982e-02
