# step,train_loss,test_loss,train_acc,test_acc
1.000000000000000000e+02,4.545676231384277344e+00,4.665725708007812500e+00,3.125000000000000000e-02,1.489117983963344702e-02
2.000000000000000000e+02,4.214784622192382812e+00,4.792373180389404297e+00,1.562500000000000000e-02,1.274341351660939273e-02
3.000000000000000000e+02,3.983437299728393555e+00,4.876396179199218750e+00,1.562500000000000000e-01,1.260022909507445624e-02
4.000000000000000000e+02,4.170660018920898438e+00,4.883405208587646484e+00,3.125000000000000000e-02,1.202749140893470854e-02
5.000000000000000000e+02,3.163275718688964844e+00,3.923445940017700195e+00,1.875000000000000000e-01,2.219358533791523577e-02
6.000000000000000000e+02,2.678119897842407227e+00,3.481626987457275391e+00,3.125000000000000000e-01,5.856242840778923264e-02
7.000000000000000000e+02,1.952373147010803223e+00,2.177041292190551758e+00,5.468750000000000000e-01,3.947594501718212912e-01
8.000000000000000000e+02,1.146159529685974121e+00,1.207493424415588379e+00,9.375000000000000000e-01,8.788659793814432852e-01
9.000000000000000000e+02,6.652501225471496582e-01,6.640794277191162109e-01,9.375000000000000000e-01,9.716494845360824639e-01
1.000000000000000000e+03,3.569370806217193604e-01,4.325811862945556641e-01,9.687500000000000000e-01,9.842497136311568751e-01
1.100000000000000000e+03,2.933079302310943604e-01,3.412580788135528564e-01,1.000000000000000000e+00,9.831042382588773831e-01
1.200000000000000000e+03,2.612620294094085693e-01,3.199349641799926758e-01,1.000000000000000000e+00,9.723654066437571464e-01
1.300000000000000000e+03,3.310506641864776611e-01,2.930053472518920898e-01,9.531250000000000000e-01,9.803837342497135898e-01
1.400000000000000000e+03,2.497908771038055420e-01,2.933518588542938232e-01,1.000000000000000000e+00,9.753722794959908127e-01
1.500000000000000000e+03,2.723616957664489746e-01,2.901649177074432373e-01,9.843750000000000000e-01,9.715063001145475274e-01
1.600000000000000000e+03,2.371120601892471313e-01,2.754255533218383789e-01,9.843750000000000000e-01,9.803837342497135898e-01
1.700000000000000000e+03,2.349880188703536987e-01,2.988852858543395996e-01,9.843750000000000000e-01,9.597651775486827352e-01
1.800000000000000000e+03,1.843838244676589966e-01,2.291996479034423828e-01,9.843750000000000000e-01,9.853951890034364780e-01
1.900000000000000000e+03,3.105752766132354736e-01,2.615187764167785645e-01,9.687500000000000000e-01,9.709335624284077815e-01
2.000000000000000000e+03,2.631450891494750977e-01,2.936663329601287842e-01,9.687500000000000000e-01,9.717926689576174004e-01
2.100000000000000000e+03,2.288509607315063477e-01,2.314795106649398804e-01,9.687500000000000000e-01,9.852520045819015415e-01
2.200000000000000000e+03,2.325789630413055420e-01,1.867393553256988525e-01,9.843750000000000000e-01,9.919816723940435566e-01
2.300000000000000000e+03,2.071045041084289551e-01,2.709694802761077881e-01,9.687500000000000000e-01,9.705040091638029720e-01
2.400000000000000000e+03,2.861235141754150391e-01,2.672639191150665283e-01,9.375000000000000000e-01,9.706471935853379085e-01
2.500000000000000000e+03,2.285381406545639038e-01,2.186929732561111450e-01,9.687500000000000000e-01,9.819587628865978912e-01
2.600000000000000000e+03,2.100892513990402222e-01,2.356602102518081665e-01,1.000000000000000000e+00,9.835337915234821926e-01
2.700000000000000000e+03,2.058194577693939209e-01,2.504334747791290283e-01,1.000000000000000000e+00,9.762313860252004316e-01
2.800000000000000000e+03,2.924781143665313721e-01,2.403863668441772461e-01,9.531250000000000000e-01,9.775200458190148600e-01
2.900000000000000000e+03,2.250557988882064819e-01,1.914042532444000244e-01,9.843750000000000000e-01,9.909793814432990011e-01
3.000000000000000000e+03,3.009528815746307373e-01,2.145475000143051147e-01,9.687500000000000000e-01,9.859679266895762240e-01
3.100000000000000000e+03,3.805716931819915771e-01,2.777493000030517578e-01,9.218750000000000000e-01,9.650630011454753854e-01
3.200000000000000000e+03,2.481126338243484497e-01,2.846979200839996338e-01,9.687500000000000000e-01,9.619129438717067826e-01
3.300000000000000000e+03,2.467444092035293579e-01,3.029466569423675537e-01,1.000000000000000000e+00,9.506013745704466888e-01
3.400000000000000000e+03,2.332995831966400146e-01,2.190274447202682495e-01,9.687500000000000000e-01,9.851088201603666050e-01
3.500000000000000000e+03,2.928857207298278809e-01,2.580393254756927490e-01,9.531250000000000000e-01,9.666380297823596868e-01
3.600000000000000000e+03,2.305599004030227661e-01,2.474791407585144043e-01,9.687500000000000000e-01,9.763745704467353681e-01
3.700000000000000000e+03,1.975001692771911621e-01,2.740135788917541504e-01,1.000000000000000000e+00,9.697880870561282896e-01
3.800000000000000000e+03,2.312515228986740112e-01,2.226595878601074219e-01,9.843750000000000000e-01,9.790950744558991614e-01
