# step,train_loss,test_loss,train_acc,test_acc
1.000000000000000000e+02,4.648712158203125000e+00,4.604512214660644531e+00,1.562500000000000000e-02,9.306987399770904820e-03
2.000000000000000000e+02,4.596668720245361328e+00,4.542703628540039062e+00,1.562500000000000000e-02,2.018900343642611797e-02
3.000000000000000000e+02,4.447849273681640625e+00,4.597050189971923828e+00,6.250000000000000000e-02,1.775486827033218723e-02
4.000000000000000000e+02,4.399383544921875000e+00,4.772974491119384766e+00,1.562500000000000000e-02,1.403207331042382634e-02
5.000000000000000000e+02,4.207184791564941406e+00,4.892445564270019531e+00,4.687500000000000000e-02,1.331615120274914042e-02
6.000000000000000000e+02,4.018320083618164062e+00,5.011590480804443359e+00,1.562500000000000000e-02,1.245704467353951975e-02
7.000000000000000000e+02,3.724390029907226562e+00,5.136007785797119141e+00,1.875000000000000000e-01,1.217067583046964503e-02
8.000000000000000000e+02,3.617053270339965820e+00,5.277134418487548828e+00,1.250000000000000000e-01,1.217067583046964503e-02
9.000000000000000000e+02,3.163906574249267578e+00,5.432082653045654297e+00,2.812500000000000000e-01,1.174112256586483383e-02
1.000000000000000000e+03,3.053653240203857422e+00,5.610575675964355469e+00,2.343750000000000000e-01,1.231386025200458152e-02
1.100000000000000000e+03,2.764055013656616211e+00,5.784909248352050781e+00,3.125000000000000000e-01,1.245704467353951975e-02
1.200000000000000000e+03,2.136820793151855469e+00,6.015055656433105469e+00,4.531250000000000000e-01,1.188430698739977032e-02
1.300000000000000000e+03,1.663745284080505371e+00,6.259598255157470703e+00,6.562500000000000000e-01,1.302978235967926744e-02
1.400000000000000000e+03,1.923458814620971680e+00,6.486376285552978516e+00,5.937500000000000000e-01,1.202749140893470854e-02
1.500000000000000000e+03,1.243474364280700684e+00,6.703730583190917969e+00,8.437500000000000000e-01,1.317296678121420393e-02
1.600000000000000000e+03,8.199584484100341797e-01,6.881528377532958984e+00,8.750000000000000000e-01,1.217067583046964503e-02
1.700000000000000000e+03,9.999122023582458496e-01,7.103700160980224609e+00,7.968750000000000000e-01,1.317296678121420393e-02
1.800000000000000000e+03,7.135324478149414062e-01,7.263408660888671875e+00,8.437500000000000000e-01,1.345933562428407865e-02
1.900000000000000000e+03,6.741877198219299316e-01,7.397515296936035156e+00,8.281250000000000000e-01,1.331615120274914042e-02
2.000000000000000000e+03,3.504430055618286133e-01,7.456593513488769531e+00,9.531250000000000000e-01,1.388888888888888812e-02
2.100000000000000000e+03,5.205897688865661621e-01,7.571507930755615234e+00,9.062500000000000000e-01,1.302978235967926744e-02
2.200000000000000000e+03,3.668623864650726318e-01,7.591640949249267578e+00,9.531250000000000000e-01,1.374570446735395163e-02
2.300000000000000000e+03,4.519255161285400391e-01,7.628037452697753906e+00,9.218750000000000000e-01,1.317296678121420393e-02
2.400000000000000000e+03,4.666652679443359375e-01,7.728715896606445312e+00,9.218750000000000000e-01,1.245704467353951975e-02
2.500000000000000000e+03,3.416231870651245117e-01,7.719884872436523438e+00,9.531250000000000000e-01,1.403207331042382634e-02
2.600000000000000000e+03,2.840529382228851318e-01,7.689513206481933594e+00,9.531250000000000000e-01,1.460481099656357404e-02
2.700000000000000000e+03,5.712102651596069336e-01,7.717832565307617188e+00,8.281250000000000000e-01,1.345933562428407865e-02
2.800000000000000000e+03,3.447620272636413574e-01,7.754455089569091797e+00,8.906250000000000000e-01,1.245704467353951975e-02
2.900000000000000000e+03,3.091567158699035645e-01,7.656029701232910156e+00,9.531250000000000000e-01,1.288659793814432922e-02
3.000000000000000000e+03,1.429140120744705200e-01,7.704419136047363281e+00,9.687500000000000000e-01,1.417525773195876283e-02
3.100000000000000000e+03,4.190522730350494385e-01,7.655175209045410156e+00,8.906250000000000000e-01,1.317296678121420393e-02
3.200000000000000000e+03,3.632562160491943359e-01,7.616919040679931641e+00,9.218750000000000000e-01,1.532073310423825822e-02
3.300000000000000000e+03,3.559518158435821533e-01,7.452585220336914062e+00,9.218750000000000000e-01,1.632302405498281886e-02
3.400000000000000000e+03,2.294947057962417603e-01,7.496139049530029297e+00,9.843750000000000000e-01,1.446162657502863755e-02
3.500000000000000000e+03,2.506730258464813232e-01,7.438703060150146484e+00,9.375000000000000000e-01,1.546391752577319645e-02
3.600000000000000000e+03,3.126599490642547607e-01,7.365831375122070312e+00,9.375000000000000000e-01,1.517754868270332173e-02
3.700000000000000000e+03,3.768754899501800537e-01,7.243717193603515625e+00,8.333333333333333703e-01,1.660939289805269184e-02
3.800000000000000000e+03,2.296251505613327026e-01,7.160953998565673828e+00,9.687500000000000000e-01,1.732531500572737776e-02
3.900000000000000000e+03,4.285595417022705078e-01,6.962724685668945312e+00,8.750000000000000000e-01,1.918671248568155907e-02
4.000000000000000000e+03,2.179960459470748901e-01,7.047004222869873047e+00,9.687500000000000000e-01,1.832760595647193666e-02
4.100000000000000000e+03,3.229566812515258789e-01,6.789787769317626953e+00,9.218750000000000000e-01,1.975945017182130503e-02
4.200000000000000000e+03,3.976398706436157227e-01,6.657523632049560547e+00,9.218750000000000000e-01,2.176403207331042283e-02
4.300000000000000000e+03,3.448049426078796387e-01,6.720913887023925781e+00,9.062500000000000000e-01,2.033218785796105446e-02
4.400000000000000000e+03,2.815007865428924561e-01,6.653915882110595703e+00,9.531250000000000000e-01,2.262313860252004524e-02
4.500000000000000000e+03,3.597128689289093018e-01,6.400078296661376953e+00,9.375000000000000000e-01,2.620274914089347137e-02
4.600000000000000000e+03,2.001642286777496338e-01,6.433223247528076172e+00,9.687500000000000000e-01,2.620274914089347137e-02
4.700000000000000000e+03,1.472432166337966919e-01,6.286164283752441406e+00,9.687500000000000000e-01,2.706185567010309378e-02
4.800000000000000000e+03,1.528264284133911133e-01,6.095671176910400391e+00,9.843750000000000000e-01,2.935280641466208457e-02
4.900000000000000000e+03,1.329682022333145142e-01,5.847430229187011719e+00,9.843750000000000000e-01,3.694158075601374630e-02
5.000000000000000000e+03,1.019545793533325195e-01,5.688194274902343750e+00,9.843750000000000000e-01,3.980526918671248304e-02
5.100000000000000000e+03,3.516159951686859131e-01,5.385634899139404297e+00,9.062500000000000000e-01,4.553264604810996347e-02
5.200000000000000000e+03,1.478101313114166260e-01,5.038658142089843750e+00,9.843750000000000000e-01,5.598510882016036888e-02
5.300000000000000000e+03,1.445772349834442139e-01,4.617896556854248047e+00,9.687500000000000000e-01,8.347651775486826520e-02
5.400000000000000000e+03,2.284393757581710815e-01,3.876607656478881836e+00,9.687500000000000000e-01,1.271477663230240474e-01
5.500000000000000000e+03,2.321139872074127197e-01,3.329641819000244141e+00,9.375000000000000000e-01,1.887170675830469602e-01
5.600000000000000000e+03,1.018885821104049683e-01,1.998009204864501953e+00,9.843750000000000000e-01,3.947594501718212912e-01
5.700000000000000000e+03,9.440817683935165405e-02,1.682043313980102539e+00,9.843750000000000000e-01,4.690721649484536071e-01
5.800000000000000000e+03,1.837766319513320923e-01,7.423110604286193848e-01,9.375000000000000000e-01,7.455612829324169688e-01
5.900000000000000000e+03,8.342434465885162354e-02,7.884144783020019531e-01,9.843750000000000000e-01,7.468499427262313972e-01
6.000000000000000000e+03,1.533118039369583130e-01,3.086262047290802002e-01,9.218750000000000000e-01,9.085051546391752497e-01
6.100000000000000000e+03,3.923597186803817749e-02,1.664491593837738037e-01,9.843750000000000000e-01,9.623424971363115921e-01
6.200000000000000000e+03,5.976311117410659790e-02,1.512364894151687622e-01,9.843750000000000000e-01,9.633447880870561475e-01
6.300000000000000000e+03,4.734499752521514893e-02,1.512546837329864502e-01,9.843750000000000000e-01,9.630584192439862745e-01
6.400000000000000000e+03,4.242984950542449951e-02,7.400190085172653198e-02,1.000000000000000000e+00,9.868270332187858429e-01
6.500000000000000000e+03,2.561422297731041908e-03,4.183543846011161804e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.600000000000000000e+03,1.822288613766431808e-03,2.747586695477366447e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.700000000000000000e+03,8.207793580368161201e-04,1.166266971267759800e-03,1.000000000000000000e+00,1.000000000000000000e+00
6.800000000000000000e+03,3.174483135808259249e-04,4.145050770603120327e-04,1.000000000000000000e+00,1.000000000000000000e+00
6.900000000000000000e+03,1.213171781273558736e-04,1.516290503786876798e-04,1.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+03,4.086547050974331796e-05,5.443736154120415449e-05,1.000000000000000000e+00,1.000000000000000000e+00
7.100000000000000000e+03,5.041459947824478149e-02,7.835516333580017090e-02,1.000000000000000000e+00,9.878293241695303983e-01
7.200000000000000000e+03,2.712891437113285065e-03,4.267028998583555222e-03,1.000000000000000000e+00,1.000000000000000000e+00
7.300000000000000000e+03,1.910214079543948174e-03,2.627695212140679359e-03,1.000000000000000000e+00,1.000000000000000000e+00
7.400000000000000000e+03,1.084173098206520081e-03,1.227335422299802303e-03,1.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e+03,4.905971582047641277e-04,6.048939540050923824e-04,1.000000000000000000e+00,1.000000000000000000e+00
7.600000000000000000e+03,2.331228170078247786e-04,2.874309138860553503e-04,1.000000000000000000e+00,1.000000000000000000e+00
7.700000000000000000e+03,1.171195413917303085e-02,2.244971133768558502e-02,1.000000000000000000e+00,9.998568155784650635e-01
7.800000000000000000e+03,3.299670759588479996e-03,4.559646360576152802e-03,1.000000000000000000e+00,1.000000000000000000e+00
7.900000000000000000e+03,1.977105857804417610e-03,2.452275482937693596e-03,1.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+03,1.026544370688498020e-03,1.219280413351953030e-03,1.000000000000000000e+00,1.000000000000000000e+00
8.100000000000000000e+03,4.525323456618934870e-04,5.069993785582482815e-04,1.000000000000000000e+00,1.000000000000000000e+00
8.200000000000000000e+03,1.666531607042998075e-04,1.879860501503571868e-04,1.000000000000000000e+00,1.000000000000000000e+00
8.300000000000000000e+03,6.591671262867748737e-05,7.236292003653943539e-05,1.000000000000000000e+00,1.000000000000000000e+00
8.400000000000000000e+03,2.309864759445190430e-01,2.865952849388122559e-01,9.687500000000000000e-01,9.391466208476517696e-01
8.500000000000000000e+03,7.177547086030244827e-03,9.000476449728012085e-03,1.000000000000000000e+00,1.000000000000000000e+00
8.600000000000000000e+03,3.268147353082895279e-03,4.065233282744884491e-03,1.000000000000000000e+00,1.000000000000000000e+00
8.700000000000000000e+03,1.173076336272060871e-03,1.498143072240054607e-03,1.000000000000000000e+00,1.000000000000000000e+00
8.800000000000000000e+03,6.390563212335109711e-04,7.362763863056898117e-04,1.000000000000000000e+00,1.000000000000000000e+00
8.900000000000000000e+03,2.834841725416481495e-04,3.100518952123820782e-04,1.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+03,1.062264054780825973e-04,1.187739544548094273e-04,1.000000000000000000e+00,1.000000000000000000e+00
9.100000000000000000e+03,1.233967065811157227e+00,8.610734939575195312e-01,5.468750000000000000e-01,7.310996563573882723e-01
9.200000000000000000e+03,7.862180471420288086e-03,1.051600370556116104e-02,1.000000000000000000e+00,1.000000000000000000e+00
9.300000000000000000e+03,3.729919437319040298e-03,4.518542438745498657e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.400000000000000000e+03,1.429862109944224358e-03,1.648859353736042976e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.500000000000000000e+03,6.770559702999889851e-04,7.907376275397837162e-04,1.000000000000000000e+00,1.000000000000000000e+00
9.600000000000000000e+03,2.826717682182788849e-04,3.365144657436758280e-04,1.000000000000000000e+00,1.000000000000000000e+00
