# step,train_loss,test_loss,train_acc,test_acc
1.000000000000000000e+02,4.746506690979003906e+00,4.768146038055419922e+00,0.000000000000000000e+00,7.726845567505482258e-03
2.000000000000000000e+02,4.741436004638671875e+00,4.756791114807128906e+00,1.785714285714285615e-02,7.726845567505482258e-03
3.000000000000000000e+02,4.723110198974609375e+00,4.769813537597656250e+00,1.785714285714285615e-02,7.518011903518847204e-03
4.000000000000000000e+02,4.741230487823486328e+00,4.757388114929199219e+00,0.000000000000000000e+00,7.831262399498798918e-03
5.000000000000000000e+02,4.697650909423828125e+00,4.779788970947265625e+00,5.357142857142856845e-02,5.951759423619087767e-03
6.000000000000000000e+02,4.758361339569091797e+00,4.824315071105957031e+00,0.000000000000000000e+00,3.654589119766106509e-03
7.000000000000000000e+02,4.680780887603759766e+00,4.959220886230468750e+00,0.000000000000000000e+00,1.879502975879711801e-03
8.000000000000000000e+02,4.609790802001953125e+00,5.023433208465576172e+00,0.000000000000000000e+00,1.253001983919807940e-03
9.000000000000000000e+02,4.601423740386962891e+00,5.108347415924072266e+00,0.000000000000000000e+00,1.044168319933173319e-03
1.000000000000000000e+03,4.476516723632812500e+00,5.146307468414306641e+00,0.000000000000000000e+00,8.353346559465385903e-04
1.100000000000000000e+03,4.434457778930664062e+00,5.208225727081298828e+00,0.000000000000000000e+00,1.566252479899759870e-03
1.200000000000000000e+03,4.356335163116455078e+00,5.258147239685058594e+00,3.571428571428571230e-02,8.353346559465385903e-04
1.300000000000000000e+03,4.447667598724365234e+00,5.311224937438964844e+00,0.000000000000000000e+00,1.253001983919807940e-03
1.400000000000000000e+03,4.312612056732177734e+00,5.364160060882568359e+00,3.571428571428571230e-02,1.357418815913125250e-03
1.500000000000000000e+03,4.092298984527587891e+00,5.421998023986816406e+00,7.142857142857142461e-02,1.357418815913125250e-03
1.600000000000000000e+03,4.013003826141357422e+00,5.452663898468017578e+00,5.357142857142856845e-02,1.566252479899759870e-03
1.700000000000000000e+03,3.927628278732299805e+00,5.461046218872070312e+00,1.250000000000000000e-01,1.879502975879711801e-03
1.800000000000000000e+03,3.776836633682250977e+00,5.462411403656005859e+00,8.928571428571428770e-02,2.401587135846298352e-03
1.900000000000000000e+03,3.501124620437622070e+00,5.411907196044921875e+00,2.321428571428571508e-01,3.236921791792836834e-03
2.000000000000000000e+03,3.379703283309936523e+00,4.928305625915527344e+00,1.607142857142857262e-01,5.951759423619087767e-03
2.100000000000000000e+03,3.039772272109985352e+00,4.402370929718017578e+00,2.321428571428571508e-01,1.148585151926490543e-02
2.200000000000000000e+03,2.680270433425903320e+00,4.286815643310546875e+00,3.214285714285714524e-01,1.503602380703769441e-02
2.300000000000000000e+03,2.369541406631469727e+00,4.263864517211914062e+00,3.214285714285714524e-01,1.701994361491072222e-02
2.400000000000000000e+03,2.230875253677368164e+00,4.301936626434326172e+00,4.107142857142856984e-01,1.900386342278375176e-02
2.500000000000000000e+03,2.379769802093505859e+00,4.184824466705322266e+00,2.678571428571428492e-01,2.558212383836274556e-02
2.600000000000000000e+03,1.514971852302551270e+00,3.417750835418701172e+00,6.428571428571429047e-01,7.820820716299467512e-02
2.700000000000000000e+03,1.350201249122619629e+00,2.874693393707275391e+00,6.785714285714286031e-01,1.295812885037067874e-01
2.800000000000000000e+03,1.096715569496154785e+00,2.419832229614257812e+00,7.321428571428570953e-01,2.034039887229821542e-01
2.900000000000000000e+03,7.575146555900573730e-01,1.942705154418945312e+00,7.857142857142856984e-01,3.189934217395844485e-01
3.000000000000000000e+03,7.429832816123962402e-01,1.742714524269104004e+00,8.571428571428570953e-01,3.783021823117886373e-01
3.100000000000000000e+03,5.877901315689086914e-01,1.634342312812805176e+00,9.285714285714286031e-01,4.122376527096167642e-01
3.200000000000000000e+03,5.046616792678833008e-01,1.566488265991210938e+00,9.285714285714286031e-01,4.337475201002401470e-01
3.300000000000000000e+03,4.189513027667999268e-01,1.444729208946228027e+00,9.821428571428570953e-01,4.652814033622220125e-01
3.400000000000000000e+03,4.537492394447326660e-01,1.395760893821716309e+00,8.928571428571429047e-01,4.805262608332463437e-01
3.500000000000000000e+03,2.961522638797760010e-01,1.280818819999694824e+00,9.642857142857143016e-01,5.152970658870209553e-01
3.600000000000000000e+03,4.002862870693206787e-01,1.147045969963073730e+00,9.464285714285713969e-01,5.478751174689360237e-01
3.700000000000000000e+03,3.288144469261169434e-01,1.026811718940734863e+00,9.285714285714286031e-01,5.920434374021091850e-01
3.800000000000000000e+03,3.366058468818664551e-01,1.037526965141296387e+00,9.285714285714286031e-01,5.779471650830113605e-01
3.900000000000000000e+03,2.492092996835708618e-01,1.014445781707763672e+00,9.821428571428570953e-01,5.945494413699488057e-01
4.000000000000000000e+03,1.988005489110946655e-01,1.004410028457641602e+00,9.464285714285713969e-01,5.991437819776548324e-01
4.100000000000000000e+03,2.281566709280014038e-01,1.014015793800354004e+00,9.642857142857143016e-01,5.870314294664299437e-01
4.200000000000000000e+03,2.063312381505966187e-01,1.063190460205078125e+00,9.642857142857143016e-01,5.704291531794924985e-01
4.300000000000000000e+03,3.360639214515686035e-01,1.093376398086547852e+00,8.928571428571429047e-01,5.690717343635793846e-01
